ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
SMR,9175.05,1622.33,16892.38,1569.431,5.84609963738451,1.03370584625893,10.7633785747828
SOM,3357012.22,416349.74,8799004.81000001,1812.427,1852.2192728314,229.719453528335,4854.81887546368
SRB,1968666.45,1532206.94,2352040.95,315145.715,6.24684505070932,4.86189996268869,7.46334421840385
SSD,2131141.36,638556.68,5061120.51,1535.284,1388.1088840892,415.920884995871,3296.53699901777
SUR,55279.43,27063.21,78832.33,5600.855,9.86981987571541,4.83197833187969,14.0750528267559
SVK,1084017.59,863050.26,1369550.04,249988.286,4.33627354043301,3.45236280391154,5.47845685857457
SVN,288733.79,223893.28,345729.08,115192.138,2.50654076756523,1.94365070296725,3.00132531614267
SWE,792849.42,695623.56,930718.88,346875.294,2.28569008434484,2.00539955434243,2.68315125377595
SWZ,283743.24,194025.98,435934.33,7984.139,35.53836424942,24.3014281189243,54.600042659578
SYR,1897082.56,1230192.74,2873620.34,10879.575,174.371017250214,113.073602599366,264.129834115763
TCD,3880418.69,995419.82,7093651.46,1166.286,3327.15876723205,853.495471951133,6082.25723364595
TGO,821510.61,476920.26,1596489.71,2966.863,276.895363891086,160.748999869559,538.106987076922
THA,76009.78,30934.88,118730.92,3202.362,23.7355364571526,9.66001969796044,37.0760457437354
TLS,12984.81,6097.93,20437.09,18.723,693.521871494954,325.691929712119,1091.54996528334
TTO,67797.02,42078.73,103732.26,6994.141,9.69340194885977,6.01628277153692,14.8313080905861
TUN,3129870.2,2308538.52,4059938.86,132370.43,23.6447838085893,17.4399865589316,30.6710408057147
TUR,17679771.43,5665736.45,30653388.58,1175267.259,15.0431923416664,4.82080684764486,26.0820578002676
TWN,18762.06,9756.04,40567.47,348.002,53.9136556686456,28.0344365836978,116.572519698163
UGA,6580224.86,4954457.83,8121628.59,33279.422,197.726536837088,148.874515609075,244.043559109891
UKR,13078106.19,5219799.99,16633826.49,1020247.289,12.8185649998821,5.11621059548829,16.3037203522528
URY,55117.92,33802.83,74348.24,16458.858,3.34883015577387,2.05377736414033,4.5172174156919
USA,44699146.33,42267549.4,47287579.07,16992167.434,2.63057355711788,2.48747251133048,2.78290449135884
UZB,10377395.69,8469378.03,11858845.79,69117.145,150.142134632442,122.536572220974,171.576036452316
VEN,2934120.52,1628095.36,4267540.53,107507.006,27.2923656714987,15.1440861444881,39.6954644053617
VNM,52182.99,31441.92,85449.48,1095.572,47.6308175090273,28.6990905207508,77.9953120379126
YEM,2462048.99,1432268.62,3859709.19,1008.946,2440.21879268068,1419.56915434523,3825.48638876609
ZAF,15362820.32,12443879.68,18875294.41,884594.141,17.3670835109002,14.0673322411255,21.3378017501475
ZMB,5033187.97,2778844.49,7815822.47,18516.571,271.820736679594,150.073385077615,422.098803822803
ZWE,5394188.53,3855308.34,7269974.95,12706.286,424.529129125537,303.417406156291,572.155777856724
